boundary_name,boundary_key,district,lat,lon,area_km2
Amager Vest,amager vest,Amager Vest,55.64296290538346,12.566359500917294,19.307
Brønshøj-Husum,bronshoj husum,Brønshøj-Husum,55.71019963198113,12.487802193,8.716
Vanløse,vanlose,Vanløse,55.689971207371045,12.491360345324459,6.68
Indre By,indre by,Indre By,55.69004590184182,12.609015158071507,10.44
Nørrebro,norrebro,Nørrebro,55.69597257698473,12.549447619045802,4.096
Bispebjerg,bispebjerg,Bispebjerg,55.71447853351351,12.535224037246621,6.81
Vesterbro-Kongens Enghave,vesterbro kongens enghave,Vesterbro-Kongens Enghave,55.649677726158274,12.544273941928058,8.24
Valby,valby,Valby,55.658072977933024,12.498536862113163,9.209
Amager Øst,amager ost,Amager Øst,55.66555091958257,12.633843566605279,9.318
Østerbro,osterbro,Østerbro,55.713860930693706,12.596918260165422,9.744
