neighbourhood,district,area_km2,bakery_count,bar_count,bench_count,bike_accessibility_count,bike_parking_count,cafe_count,cinema_count,green_space_access_count,indoor_culture_count,library_access_count,museum_count,nightlife_count,pharmacy_count,public_toilet_count,supermarket_count,bakery_density,bar_density,bench_density,bike_accessibility,bike_parking_density,cafe_density,cinema_density,green_space_access,indoor_culture_density,library_access,museum_density,nightlife_density,pharmacy_density,public_toilet_density,supermarket_density
Amager Vest,Amager Vest,19.307,19,37,476,310,310,69,1,82,51,6,0,37,5,20,33,0.9840990314393744,1.9164033770135185,24.65427047184959,16.05635261822137,16.05635261822137,3.5738333247008858,0.05179468586523023,4.247164240948879,2.641528979126742,0.31076811519138137,0.0,1.9164033770135185,0.25897342932615114,1.0358937173046046,1.7092246335525976
Brønshøj-Husum,Brønshøj-Husum,8.716,5,8,213,16,16,14,0,50,15,3,1,8,3,7,15,0.5736576411197798,0.9178522257916476,24.437815511702617,1.8357044515832952,1.8357044515832952,1.6062413951353833,0.0,5.736576411197798,1.7209729233593394,0.34419458467186786,0.11473152822395595,0.9178522257916476,0.34419458467186786,0.8031206975676917,1.7209729233593394
Vanløse,Vanløse,6.68,3,8,163,94,94,17,0,34,23,1,2,8,2,5,14,0.44910179640718567,1.1976047904191618,24.40119760479042,14.07185628742515,14.07185628742515,2.5449101796407185,0.0,5.089820359281437,3.44311377245509,0.14970059880239522,0.29940119760479045,1.1976047904191618,0.29940119760479045,0.7485029940119761,2.0958083832335332
Indre By,Indre By,10.44,42,231,1862,792,792,306,9,84,422,9,49,255,6,92,35,4.022988505747127,22.126436781609197,178.35249042145594,75.86206896551724,75.86206896551724,29.31034482758621,0.8620689655172414,8.045977011494253,40.42145593869732,0.8620689655172414,4.693486590038314,24.42528735632184,0.574712643678161,8.812260536398467,3.352490421455939
Nørrebro,Nørrebro,4.096,17,77,456,209,209,86,1,70,73,3,1,81,4,16,27,4.150390625,18.798828125,111.328125,51.025390625,51.025390625,20.99609375,0.244140625,17.08984375,17.822265625,0.732421875,0.244140625,19.775390625,0.9765625,3.90625,6.591796875
Bispebjerg,Bispebjerg,6.81,11,24,154,97,97,21,0,65,17,2,2,25,3,7,22,1.6152716593245229,3.524229074889868,22.61380323054332,14.243759177679884,14.243759177679884,3.0837004405286343,0.0,9.544787077826726,2.49632892804699,0.2936857562408223,0.2936857562408223,3.671071953010279,0.4405286343612335,1.0279001468428781,3.2305433186490458
Vesterbro-Kongens Enghave,Vesterbro-Kongens Enghave,8.24,23,118,740,768,768,102,3,78,128,2,5,125,6,20,27,2.79126213592233,14.320388349514563,89.80582524271844,93.20388349514563,93.20388349514563,12.37864077669903,0.3640776699029126,9.466019417475728,15.533980582524272,0.24271844660194175,0.6067961165048543,15.169902912621358,0.7281553398058253,2.4271844660194173,3.2766990291262137
Valby,Valby,9.209,14,13,207,140,140,39,1,59,21,2,0,13,2,11,22,1.5202519274622652,1.4116625040721034,22.478010641763493,15.202519274622652,15.202519274622652,4.2349875122163105,0.1085894233901618,6.406775980019546,2.280377891193398,0.2171788467803236,0.0,1.4116625040721034,0.2171788467803236,1.1944836572917799,2.3889673145835597
Amager Øst,Amager Øst,9.318,8,21,166,194,194,33,0,53,26,2,0,23,3,23,28,0.8585533376261001,2.2537025112685125,17.814981755741577,20.819918437432925,20.819918437432925,3.5415325177076626,0.0,5.687915861772913,2.7902983472848253,0.21463833440652502,0.0,2.4683408456750375,0.32195750160978753,2.4683408456750375,3.0049366816913503
Østerbro,Østerbro,9.744,25,33,518,337,337,82,2,48,70,2,4,33,7,39,34,2.5656814449917897,3.386699507389163,53.160919540229884,34.585385878489326,34.585385878489326,8.41543513957307,0.20525451559934318,4.926108374384237,7.183908045977011,0.20525451559934318,0.41050903119868637,3.386699507389163,0.7183908045977012,4.002463054187192,3.4893267651888342
